product_link,title,brand,marked_price,price,discount,avg_rating,total_ratings
https://www.flipkart.com/red-tape-women-s-athleisure-sports-shoes-active-everyday-style-walking-women/p/itmdfc93ac187309?pid=SHOHFMMNU5DHFAXQ&lid=LSTSHOHFMMNU5DHFAXQN7CT54&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHFMMNU5DHFAXQ.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Women's Athleisure Sports Shoes for Active Everyday Style Walking Shoes For Women,RED TAPE ,6099,975,0.84,4.3,7713
https://www.flipkart.com/k-footlance-walking-shoes-women/p/itm9092b85991653?pid=SHOGXGJFZRNGUMAH&lid=LSTSHOGXGJFZRNGUMAHWW3NJD&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGXGJFZRNGUMAH.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Walking Shoes For Women,K' Footlance ,999,360,0.63,3.9,16753
https://www.flipkart.com/bersache-premium-sports-gym-trending-stylish-running-shoes-walking-women/p/itmbff30f0c0f356?pid=SHOHFK4BAFMRZ4MJ&lid=LSTSHOHFK4BAFMRZ4MJB8PEBS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vttwRlb4q4cY0bWUEozwpiAKQXkoDKGhIzb0KSDYzmhIEyqhaHrzSI4OjvZa1DRoeKc%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"Bersache Premium Sports ,Gym, Trending Stylish Running Shoes Walking Shoes For Women",BERSACHE ,1999,536,0.73,3.9,2605
https://www.flipkart.com/shozie-stylish-shoes-sneakers-casual-sports-gym-walking-women/p/itme56395b9ba216?pid=SHOHH9NQTFESXWMS&lid=LSTSHOHH9NQTFESXWMSALHQ4A&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtvwnUI-SCfEFJfeUEr4U6m9-qCJS8KNNkqSAx7_IpjUoQ%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Stylish Shoes Sneakers Casual Sports Gym Shoes Walking Shoes For Women,Shozie ,999,445,0.55,4.2,13
https://www.flipkart.com/asian-cute-sports-shoes-women-running-girls-stylish-latest-design-new-fashion-casual-sneakers-ladies-lace-up-lightweight-pink-jogging-walking-gym-party/p/itmfgnquqjghwjzc?pid=SHOEEF3QCXKDMSUR&lid=LSTSHOEEF3QCXKDMSURB1VIXE&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOEEF3QCXKDMSUR.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"Cute sports shoes for women | Running shoes for girls stylish latest design new fashion | casual sneakers for ladies | Lace up Lightweight pink shoes for jogging, walking, gym & party Running Shoes For Women",asian ,799,704,0.11,4.2,101127
https://www.flipkart.com/hrx-hrithik-roshan-running-shoes-women/p/itmc4ebfaa5a96dc?pid=SHOHGDKG94JJFCKZ&lid=LSTSHOHGDKG94JJFCKZ0KKD6D&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOHGDKG94JJFCKZ.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Running Shoes For Women,HRX by Hrithik Roshan ,3999,1399,0.65,,
https://www.flipkart.com/doctor-health-super-soft-newly-launch-classic-ultra-memory-foam-comfortable-stylish-trendy-bellies-women/p/itmf03bdfa6636b1?pid=SHOH7N7AZS6CA4RU&lid=LSTSHOH7N7AZS6CA4RUEIVOQZ&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vttT8WrSbajZ1UeRKrIGjoXSlFDJG15J46kSqV3kFaxrzg%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Newly Launch | Classic Ultra Soft | Memory Foam | Comfortable|Stylish|Trendy Bellies For Women,Doctor Health Super Soft ,2499,500,0.79,4.2,1487
https://www.flipkart.com/fabbmate-casual-sportshoe-girl-sneakers-women/p/itm13d239387dce2?pid=SHOH2W6ZRWRHXJK8&lid=LSTSHOH2W6ZRWRHXJK8JNPKZH&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_8GmqGVIwV_DpDqu_eveSd_rVCPDIo7nlxkITbuJ9vtvlikeRhBSTjt2s3c7LDAhJneigyQF6ukhRy_raeU_bbw%3D%3D&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Casual Sportshoe Girl Sneakers For Women,Fabbmate ,999,447,0.55,4,16693
https://www.flipkart.com/aqualite-premium-lss-309-trending-sports-shoes-memory-foam-slip-resistance-outdoors-women/p/itmf4b1d06840127?pid=SHOH3QZZE7EKSA7J&lid=LSTSHOH3QZZE7EKSA7J9N45YO&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOH3QZZE7EKSA7J.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,Aqualite Premium LSS-309 Trending Sports Shoes with memory foam Slip-Resistance Outdoors For Women,Aqualite ,699,699,,3.8,1158
https://www.flipkart.com/fabbmate-trendy-sports-shoes-women-s-running-walking-memory-foam-running-women/p/itm7bb00afc6cd04?pid=SHOGZEPJWDHRHZVF&lid=LSTSHOGZEPJWDHRHZVFZYEWNS&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGZEPJWDHRHZVF.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"Fabbmate Trendy Sports Shoes for Women's Running,Walking with Memory Foam Running Shoes For Women",Fabbmate ,799,355,0.55,4,139036
https://www.flipkart.com/asian-firefly-04-black-sports-gym-jogging-walking-training-stylish-running-shoes-women/p/itmd603f4163d441?pid=SHOGGG7EGNCVV4PD&lid=LSTSHOGGG7EGNCVV4PDDOEHGK&marketplace=FLIPKART&q=sports+shoes+for+women&store=osp%2Fiko%2Fd20&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=f8eb7981-9149-4649-ac1a-bab39b655a43.SHOGGG7EGNCVV4PD.SEARCH&ppt=sp&ppn=sp&ssid=yflcq4c6xs0000001765654572635&qH=32e27b1148959538,"Firefly-04 Black Sports,Gym,Jogging,Walking,Training,Stylish Running Shoes For Women",asian ,1499,832,0.44,4.1,23401
